order_id,item_id,product_id,quantity,list_price_x,discount,source_x,extraction_date_x,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,source_y,extraction_date_y,is_late,days_late,delivery_status,product_name,brand_id,category_id,model_year,list_price_y,source,extraction_date,exchange_rate,local_price_egp,brand_name,source_brand,extraction_date_brand,first_name,last_name,phone,email,street,city,state,zip_code,source_customer,extraction_date_customer,locality,store_name,phone_store,email_store,street_store,city_store,state_store,zip_code_store,source_store,extraction_date_store,category_name,source_category,extraction_date_category,first_name_staff,last_name_staff,email_staff,phone_staff,active,store_id_staff,manager_id,source_staff,extraction_date_staff,quantity_stock,source_stock,extraction_date_stock
1,1,20,1,599.99,0.2,postgres db,2025-04-18 21:40:55,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,data lake,2025-04-18 21:40:55,51.1269,30675.628731,Electra,data lake,2025-04-18 21:40:55,Johnathan,Velazquez,0,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,data lake,2025-04-18 21:40:55,not_local,Santa Cruz Bikes,(831) 476-4321,0,3700 Portola Drive,Santa Cruz,CA,0.0,data lake,2025-04-18 21:40:55,Cruisers Bicycles,data lake,2025-04-18 21:40:55,Mireya,0,mireya.copeland@bikes.shop,(831) 555-5555,1,1.0,1.0,data lake,2025-04-18 21:40:55,26.0,data lake,2025-04-18 21:40:55
1,2,8,2,1799.99,0.07,postgres db,2025-04-18 21:40:55,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,data lake,2025-04-18 21:40:55,51.1269,92027.908731,Trek,data lake,2025-04-18 21:40:55,Johnathan,Velazquez,0,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,data lake,2025-04-18 21:40:55,not_local,Santa Cruz Bikes,(831) 476-4321,0,3700 Portola Drive,Santa Cruz,CA,0.0,data lake,2025-04-18 21:40:55,Mountain Bikes,data lake,2025-04-18 21:40:55,Mireya,0,mireya.copeland@bikes.shop,(831) 555-5555,1,1.0,1.0,data lake,2025-04-18 21:40:55,0.0,data lake,2025-04-18 21:40:55
1,3,10,2,1549.0,0.05,postgres db,2025-04-18 21:40:55,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time,Surly Straggler - 2016,8,4,2016,1549.0,data lake,2025-04-18 21:40:55,51.1269,79195.5681,Surly,data lake,2025-04-18 21:40:55,Johnathan,Velazquez,0,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,data lake,2025-04-18 21:40:55,not_local,Santa Cruz Bikes,(831) 476-4321,0,3700 Portola Drive,Santa Cruz,CA,0.0,data lake,2025-04-18 21:40:55,Cyclocross Bicycles,data lake,2025-04-18 21:40:55,Mireya,0,mireya.copeland@bikes.shop,(831) 555-5555,1,1.0,1.0,data lake,2025-04-18 21:40:55,15.0,data lake,2025-04-18 21:40:55
1,4,16,2,599.99,0.05,postgres db,2025-04-18 21:40:55,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,data lake,2025-04-18 21:40:55,51.1269,30675.628731,Electra,data lake,2025-04-18 21:40:55,Johnathan,Velazquez,0,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,data lake,2025-04-18 21:40:55,not_local,Santa Cruz Bikes,(831) 476-4321,0,3700 Portola Drive,Santa Cruz,CA,0.0,data lake,2025-04-18 21:40:55,Cruisers Bicycles,data lake,2025-04-18 21:40:55,Mireya,0,mireya.copeland@bikes.shop,(831) 555-5555,1,1.0,1.0,data lake,2025-04-18 21:40:55,4.0,data lake,2025-04-18 21:40:55
1,5,4,1,2899.99,0.2,postgres db,2025-04-18 21:40:55,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,data lake,2025-04-18 21:40:55,51.1269,148267.498731,Trek,data lake,2025-04-18 21:40:55,Johnathan,Velazquez,0,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,data lake,2025-04-18 21:40:55,not_local,Santa Cruz Bikes,(831) 476-4321,0,3700 Portola Drive,Santa Cruz,CA,0.0,data lake,2025-04-18 21:40:55,Mountain Bikes,data lake,2025-04-18 21:40:55,Mireya,0,mireya.copeland@bikes.shop,(831) 555-5555,1,1.0,1.0,data lake,2025-04-18 21:40:55,23.0,data lake,2025-04-18 21:40:55
2,1,20,1,599.99,0.07,postgres db,2025-04-18 21:40:55,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,data lake,2025-04-18 21:40:55,51.1269,30675.628731,Electra,data lake,2025-04-18 21:40:55,Jaqueline,Cummings,0,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Cruisers Bicycles,data lake,2025-04-18 21:40:55,Marcelene,Boyer,0,(516) 379-4445,1,2.0,5.0,data lake,2025-04-18 21:40:55,20.0,data lake,2025-04-18 21:40:55
2,2,16,2,599.99,0.05,postgres db,2025-04-18 21:40:55,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,data lake,2025-04-18 21:40:55,51.1269,30675.628731,Electra,data lake,2025-04-18 21:40:55,Jaqueline,Cummings,0,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Cruisers Bicycles,data lake,2025-04-18 21:40:55,Marcelene,Boyer,0,(516) 379-4445,1,2.0,5.0,data lake,2025-04-18 21:40:55,20.0,data lake,2025-04-18 21:40:55
3,1,3,1,999.99,0.05,postgres db,2025-04-18 21:40:55,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early,Surly Wednesday Frameset - 2016,8,6,2016,999.99,data lake,2025-04-18 21:40:55,51.1269,51126.388731,Surly,data lake,2025-04-18 21:40:55,Joshua,Robertson,0,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Mountain Bikes,data lake,2025-04-18 21:40:55,Venita,Daniel,venita.daniel@bikes.shop,0,1,2.0,5.0,data lake,2025-04-18 21:40:55,28.0,data lake,2025-04-18 21:40:55
3,2,20,1,599.99,0.05,postgres db,2025-04-18 21:40:55,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,data lake,2025-04-18 21:40:55,51.1269,30675.628731,Electra,data lake,2025-04-18 21:40:55,Joshua,Robertson,0,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Cruisers Bicycles,data lake,2025-04-18 21:40:55,Venita,Daniel,venita.daniel@bikes.shop,0,1,2.0,5.0,data lake,2025-04-18 21:40:55,20.0,data lake,2025-04-18 21:40:55
4,1,2,2,749.99,0.1,postgres db,2025-04-18 21:40:55,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,postgres db,2025-04-18 21:40:55,True,1.0,Late,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,data lake,2025-04-18 21:40:55,51.1269,38344.663731,Ritchey,data lake,2025-04-18 21:40:55,Nova,Hess,0,nova.hess@msn.com,773 South Lafayette St. ,Duarte,CA,91010,data lake,2025-04-18 21:40:55,not_local,Santa Cruz Bikes,(831) 476-4321,0,3700 Portola Drive,Santa Cruz,CA,0.0,data lake,2025-04-18 21:40:55,Mountain Bikes,data lake,2025-04-18 21:40:55,Genna,Serrano,genna.serrano@bikes.shop,(831) 555-5556,1,1.0,2.0,data lake,2025-04-18 21:40:55,5.0,data lake,2025-04-18 21:40:55
5,1,10,2,1549.0,0.05,postgres db,2025-04-18 21:40:55,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time,Surly Straggler - 2016,8,4,2016,1549.0,data lake,2025-04-18 21:40:55,51.1269,79195.5681,Surly,data lake,2025-04-18 21:40:55,Arla,Ellis,0,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Cyclocross Bicycles,data lake,2025-04-18 21:40:55,Marcelene,Boyer,0,(516) 379-4445,1,2.0,5.0,data lake,2025-04-18 21:40:55,13.0,data lake,2025-04-18 21:40:55
5,2,17,1,429.0,0.07,postgres db,2025-04-18 21:40:55,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,data lake,2025-04-18 21:40:55,51.1269,21933.4401,Pure Cycles,data lake,2025-04-18 21:40:55,Arla,Ellis,0,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Cruisers Bicycles,data lake,2025-04-18 21:40:55,Marcelene,Boyer,0,(516) 379-4445,1,2.0,5.0,data lake,2025-04-18 21:40:55,3.0,data lake,2025-04-18 21:40:55
5,3,26,1,599.99,0.07,postgres db,2025-04-18 21:40:55,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,data lake,2025-04-18 21:40:55,51.1269,30675.628731,Electra,data lake,2025-04-18 21:40:55,Arla,Ellis,0,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Comfort Bicycles,data lake,2025-04-18 21:40:55,Marcelene,Boyer,0,(516) 379-4445,1,2.0,5.0,data lake,2025-04-18 21:40:55,2.0,data lake,2025-04-18 21:40:55
6,1,18,1,449.0,0.07,postgres db,2025-04-18 21:40:55,94,4,,,,2,6,postgres db,2025-04-18 21:40:55,False,,Late,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449.0,data lake,2025-04-18 21:40:55,51.1269,22955.9781,Pure Cycles,data lake,2025-04-18 21:40:55,Sharyn,Hopkins,0,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Cruisers Bicycles,data lake,2025-04-18 21:40:55,Marcelene,Boyer,0,(516) 379-4445,1,2.0,5.0,data lake,2025-04-18 21:40:55,13.0,data lake,2025-04-18 21:40:55
6,2,12,2,549.99,0.05,postgres db,2025-04-18 21:40:55,94,4,,,,2,6,postgres db,2025-04-18 21:40:55,False,,Late,Electra Townie Original 21D - 2016,1,3,2016,549.99,data lake,2025-04-18 21:40:55,51.1269,28119.283731,Electra,data lake,2025-04-18 21:40:55,Sharyn,Hopkins,0,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Cruisers Bicycles,data lake,2025-04-18 21:40:55,Marcelene,Boyer,0,(516) 379-4445,1,2.0,5.0,data lake,2025-04-18 21:40:55,2.0,data lake,2025-04-18 21:40:55
6,3,20,1,599.99,0.1,postgres db,2025-04-18 21:40:55,94,4,,,,2,6,postgres db,2025-04-18 21:40:55,False,,Late,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,data lake,2025-04-18 21:40:55,51.1269,30675.628731,Electra,data lake,2025-04-18 21:40:55,Sharyn,Hopkins,0,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Cruisers Bicycles,data lake,2025-04-18 21:40:55,Marcelene,Boyer,0,(516) 379-4445,1,2.0,5.0,data lake,2025-04-18 21:40:55,20.0,data lake,2025-04-18 21:40:55
6,4,3,2,999.99,0.07,postgres db,2025-04-18 21:40:55,94,4,,,,2,6,postgres db,2025-04-18 21:40:55,False,,Late,Surly Wednesday Frameset - 2016,8,6,2016,999.99,data lake,2025-04-18 21:40:55,51.1269,51126.388731,Surly,data lake,2025-04-18 21:40:55,Sharyn,Hopkins,0,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Mountain Bikes,data lake,2025-04-18 21:40:55,Marcelene,Boyer,0,(516) 379-4445,1,2.0,5.0,data lake,2025-04-18 21:40:55,28.0,data lake,2025-04-18 21:40:55
6,5,9,2,2999.99,0.07,postgres db,2025-04-18 21:40:55,94,4,,,,2,6,postgres db,2025-04-18 21:40:55,False,,Late,Trek Conduit+ - 2016,9,5,2016,2999.99,data lake,2025-04-18 21:40:55,51.1269,153380.18873099997,Trek,data lake,2025-04-18 21:40:55,Sharyn,Hopkins,0,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,data lake,2025-04-18 21:40:55,not_local,Baldwin Bikes,(516) 379-8888,baldwin@bikes.shop,4200 Chestnut Lane,Baldwin,NY,11432.0,data lake,2025-04-18 21:40:55,Electric Bikes,data lake,2025-04-18 21:40:55,Marcelene,Boyer,0,(516) 379-4445,1,2.0,5.0,data lake,2025-04-18 21:40:55,17.0,data lake,2025-04-18 21:40:55
