customer_id,first_name,last_name,phone,email,street,city,state,zip_code,source,category_id,category_name,product_id,product_name,brand_id,model_year,list_price,staff_id,active,store_id,manager_id,brand_name,store_name,quantity,order_id,item_id,discount,order_status,order_date,required_date,shipped_date
1.0,Debra,Burks,,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127.0,data lake,,,,,,,,,,,,,,,,,,,,,
2.0,Kasha,Todd,,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008.0,data lake,,,,,,,,,,,,,,,,,,,,,
3.0,Tameka,Fisher,,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278.0,data lake,,,,,,,,,,,,,,,,,,,,,
4.0,Daryl,Spence,,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553.0,data lake,,,,,,,,,,,,,,,,,,,,,
5.0,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820.0,data lake,,,,,,,,,,,,,,,,,,,,,
6.0,Lyndsey,Bean,,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450.0,data lake,,,,,,,,,,,,,,,,,,,,,
7.0,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215.0,data lake,,,,,,,,,,,,,,,,,,,,,
8.0,Jacquline,Duncan,,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372.0,data lake,,,,,,,,,,,,,,,,,,,,,
9.0,Genoveva,Baldwin,,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050.0,data lake,,,,,,,,,,,,,,,,,,,,,
10.0,Pamelia,Newman,,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950.0,data lake,,,,,,,,,,,,,,,,,,,,,
11.0,Deshawn,Mendoza,,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952.0,data lake,,,,,,,,,,,,,,,,,,,,,
12.0,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550.0,data lake,,,,,,,,,,,,,,,,,,,,,
13.0,Lashawn,Ortiz,,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604.0,data lake,,,,,,,,,,,,,,,,,,,,,
14.0,Garry,Espinoza,,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126.0,data lake,,,,,,,,,,,,,,,,,,,,,
15.0,Linnie,Branch,,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901.0,data lake,,,,,,,,,,,,,,,,,,,,,
16.0,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002.0,data lake,,,,,,,,,,,,,,,,,,,,,
17.0,Caren,Stephens,,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583.0,data lake,,,,,,,,,,,,,,,,,,,,,
18.0,Georgetta,Hardin,,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424.0,data lake,,,,,,,,,,,,,,,,,,,,,
